NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,B2,DSS,BT,FE,EM,AM,PHY,CHM,BIO,PC,PB,CB,SSL,PE,COM,EC,PA,CH,SLC,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,CLB,IN,MSP,HH,HG,HL,IH,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,GO2,IH2,LA2,SP
20190065,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,4.28,6,B3,A1,,,,,,B4,E8,,C6,D7,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,B3,,,,,B4,,,D7,B4,,,,,
20190066,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.22,6,B3,B3,,,,,,A1,A2,B3,A2,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,A1,,,,,,,,,,,,,,
20190067,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.39,6,A1,A2,,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190068,M,JAE Ordinary Admission,Science,JURONG SECONDARY SCHOOL,NO RELIGION,SINGAPORE PR (MALAYSIAN),,0,7,C5,A2,A1,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190069,M,JAE Ordinary Admission,Science,BROADRICK SECONDARY SCHOOL,NO RELIGION,CHINESE,,0,8,A2,A1,A1,,,,,A2,A1,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190070,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2,6,B4,A2,,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190071,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.11,6,A2,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190072,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.9,6,B4,A2,,,,,,A1,A1,A1,A2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190073,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.11,6,A1,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190074,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,,,A1,A1,A1,A2,A1,,,,,,,,,,,A2,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190075,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.89,6,A2,A2,,,,,,B3,A2,A1,A2,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,A1,,,,,,,,,,,,,,
