SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
112,20180112,F,257,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,55.9,,53.3,,,,75.9,69.5,,,,,,,,66.5,,,,,,,,,,,,,,,,,,1
113,20180113,M,262,NA,IP (X),SCHOOL X,,47.1,,42.5,,,58.8,49.7,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,1
114,20180114,M,254,NA,IP (X),SCHOOL X,,52.3,,51.6,,,,63.4,53.9,,,,60.3,,,,,,,,,,,,,,,,,,,,,,1
115,20180115,F,0,NA,IP (Y),SCHOOL Y,,49.2,,68.9,,,74.5,69.3,,,,,,,,,,,,,70,,,,,,,,,,,,,,2
116,20180116,M,228,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,,41.8,,68.6,,,54.9,62.5,,,,,,,,,,,,,43.9,,,,,,,,,,,,,56.4,1
117,20180117,F,240,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,45.9,,53.7,,,56.2,,,,,,49.8,,,,,,,,61,,,,,,,,,,,,,,1
118,20180118,M,254,NA,IP (X),SCHOOL X,,51.7,,36.5,,,47.9,42.9,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,1
119,20180119,M,259,NA,IP (X),SCHOOL X,,60.1,,74.8,,,86.3,71.1,,,,,62.7,,,,,,,,,,,,,,,,,,,,,,1
120,20180120,M,239,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,45.3,,40.7,,,,,,,,,49.3,,,,,,,,57.4,64.8,,,,,,,,,,,,,0
121,20180121,M,265,NA,IP (X),SCHOOL X,,69.2,,31.5,,,,52.6,67.1,,,,64.9,,,,,,,,,,,,,,,,,,,,,,1
122,20180122,F,253,NA,IP (Y),SCHOOL Y,,56.9,,49.3,,,,54.3,59.9,,,,,,,,,,,,,59.4,,,,,,,,,,,,,1
123,20180123,M,239,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,43.8,,55,,,59.7,50,,,,,,,,,,,,,,,,,,,,,,,61.5,,,,1
124,20180124,M,262,NA,IP (X),SCHOOL X,,54.3,,78.4,,,,71.9,79.3,,,,60.5,,,,,,,,,,,,,,,,,,,,,,1
125,20180125,M,0,NA,IP (X),SCHOOL X,,46.3,,76.6,56.6,80.8,,,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,1
126,20180126,M,255,NA,IP (X),SCHOOL X,,51.3,,26.8,,43.6,36.8,,,,,,50.1,,,,,,,,,,,,,,,,,,,,,,1
127,20180127,M,258,NA,IP (X),SCHOOL X,,58.9,,69.2,,,,69.4,67.8,,,,59.1,,,,,,,,,,,,,,,,,,,,,,2
128,20180128,F,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,41,,43.3,,,,38.5,46.1,,,,50.6,,,,,,,,,,,,,,,,,,,,,,1
129,20180129,F,269,NA,IP (Y),SCHOOL Y,,49.1,,,,,,,,53.1,,,,,43.7,,,,59.7,,,,,,,,,46.1,,,,,,,1
130,20180130,F,259,NA,IP (Y),SCHOOL Y,,49.9,,37.4,,,,,,61.6,,,45.4,,,,55.5,,,,,,,,,,,,,,,,,,1
131,20180131,M,260,NA,IP (X),SCHOOL X,,54.2,,29,,,36,,,,,,54.8,,,,,,,,,57.2,,,,,,,,,,,,,1
132,20180132,F,262,NA,IP (Y),SCHOOL Y,,63.8,,43.2,,,,57.6,56.7,,,,57.8,,,,,,,,,,,,,,,,,,,,,,2
133,20180133,M,257,NA,IP (X),SCHOOL X,,54.2,,48.7,,,,75.7,,,,,46.8,,,,,,,,,50.9,,,,,,,,,,,,,1
134,20180134,M,251,NA,IP (X),SCHOOL X,,54.8,,46.1,,,44.8,48.1,,59.8,,,,,,,,,,,,,,,,,,,,,,,,,1
135,20180135,F,253,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,73.3,,38,,,,,,,67,,,,,57.9,,,,,,,,,72.7,,,,,,,,,,1
136,20180136,M,250,NA,IP (X),SCHOOL X,,52.8,,50.4,,,,59.5,59.5,,,,55.1,,,,,,,,,,,,,,,,,,,,,,1
137,20180137,F,259,NA,IP (Y),SCHOOL Y,,54,,57.3,,,,60.1,68.4,,,,53.4,,,,,,,,,,,,,,,,,,,,,,1
138,20180138,F,247,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,57.1,,70.7,,,,78.3,80.9,,,,57.4,,,,,,,,,,,,,,,,,,,,,,1
139,20180139,M,256,NA,IP (X),SCHOOL X,,53.4,,32.9,,,54.7,47.1,,,,,39,,,,,,,,,,,,,,,,,,,,,,1
140,20180140,M,258,NA,IP (X),SCHOOL X,,58.4,,45.6,,,,,,57.8,,,58.4,,56.3,,,,,,,,,,,,,,,,,,,,1
141,20180141,F,259,NA,IP (Y),SCHOOL Y,,52.3,,45.6,,,,45.4,57.3,,,,44.1,,,,,,,,,,,,,,,,,,,,,,1
142,20180142,M,0,NA,IP (X),SCHOOL X,,48,,45.9,,,71.9,50.7,,,,,42.1,,,,,,,,,,,,,,,,,,,,,,1
143,20180143,F,0,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,46.7,,48.7,,,57.4,56.7,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,1
144,20180144,M,248,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,52.1,,57.3,,,65.3,64.4,,,,,53.3,,,,,,,,,,,,,,,,,,,,,,2
145,20180145,M,257,NA,IP (X),SCHOOL X,,51.2,,42.7,,,48.1,46.2,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,2
146,20180146,M,267,NA,IP (X),SCHOOL X,,63.5,,72,,,,80.4,79.1,,,,68.8,,,,,,,,,,,,,,,,,,,,,,3
147,20180147,M,254,NA,IP (X),SCHOOL X,,52,,28.1,,,51.1,50.5,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,1
148,20180148,F,194,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,46.8,,34,,,44.7,29.6,,,,,41.2,,,,,,,,,,,,,,,,,,,,,,1
149,20180149,M,263,Repeat Yr1,IP (X),SCHOOL X,,55.4,,23.5,,MC,40.4,,,,,,,,,,,,,,,,,,,,,,,,58.1,,,,0
150,20180150,F,234,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,46.8,,56.2,,,47,55,,,,,47.2,,,,,,,,,,,,,,,,,,,,,,1
