SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
84,20180084,M,257,NA,IP (X),SCHOOL X,1,,0.61,,0.65,,,,0.66,0.7,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,20180085,F,256,NA,IP (Y),SCHOOL Y,1,,0.67,,0.53,,,,0.47,0.82,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,20180086,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.36,,0.94,,,,0.89,0.73,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,20180087,F,259,NA,IP (Y),SCHOOL Y,1,,0.81,,0.51,,,,0.65,0.59,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
88,20180088,M,257,NA,IP (X),SCHOOL X,1,,0.91,,0.82,,,,0.62,0.6,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
89,20180089,M,259,NA,IP (X),SCHOOL X,1,1,,,0.64,,,0.98,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,1
90,20180090,M,254,NA,IP (X),SCHOOL X,1,,0.78,,0.27,,,,,,0.2,,,,,0.56,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,1
91,20180091,F,258,NA,IP (Y),SCHOOL Y,1,,0.55,,0.48,,,,0.78,0.74,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,20180092,M,251,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.43,,0.68,,,0.35,0.28,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
93,20180093,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,1,,0.29,,0.66,,,0.78,0.52,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,20180094,M,252,NA,IP (X),SCHOOL X,1,,0.08,,0.21,,,0.24,0.17,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,1
95,20180095,F,258,NA,IP (Y),SCHOOL Y,1,,0.67,,,,,,,,,,,,,,,0.96,,,,,0.61,0.4,,,,,0.78,,,,,,,,,,,,,,1
96,20180096,F,249,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,1,,0.43,,0.23,,,,0.21,0.26,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
