SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
245,20180245,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.48,,0.58,,,0.49,0.09,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,1
246,20180246,M,264,NA,IP (X),SCHOOL X,,0.87,,0.58,,,,0.91,0.75,,,,0.36,,,,,,,,,,,,,,,,,,,,,,1
247,20180247,F,239,NA,IP (Y),SCHOOL Y,,0.29,,0.02,,,,0.1,0.21,,,,,,,,,,,,,,,,,,,,,,0.73,,,,1
248,20180248,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,,0.72,,0.45,,,,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,0.66,,,,1
249,20180249,F,251,NA,IP (Y),SCHOOL Y,,0.12,,0.17,,0.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,1
250,20180250,F,239,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,0.09,,0.46,,,0.48,0.28,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
251,20180251,F,262,NA,IP (Y),SCHOOL Y,,0.78,,0.53,,,,0.57,0.8,,,,,,,,0.92,,,,,,,,,,,,,,,,,,1
252,20180252,M,259,NA,IP (X),SCHOOL X,,0.41,,0.28,,,0.48,0.53,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,2
253,20180253,M,239,NA,IP (X),SCHOOL X,,0.67,,0.97,,,0.82,0.85,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,2
254,20180254,M,249,NA,IP (X),SCHOOL X,,0.54,,0.56,,,,0.46,0.27,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
255,20180255,M,257,NA,IP (X),SCHOOL X,,0.56,,0.21,,,0.12,0.19,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
256,20180256,F,262,NA,IP (Y),SCHOOL Y,,0.69,,0.93,,,0.96,0.91,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
257,20180257,F,247,NA,IP (Y),SCHOOL Y,,0.71,,0.53,,,,0.54,0.64,,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
258,20180258,F,260,NA,IP (Y),SCHOOL Y,0.77,,,0.98,,,0.99,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,1
259,20180259,F,251,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.74,,0.12,,,0.12,0.23,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
260,20180260,F,246,NA,IP (Y),SCHOOL Y,,0.62,,0.11,,,,0.35,,,,,0.49,,,,0.71,,,,,,,,,,,,,,,,,,1
261,20180261,F,259,NA,IP (Y),SCHOOL Y,,0.35,,0.27,,,,0.26,0.18,,,,,,,,,,,,,,,,,,,,,,0.86,,,,1
262,20180262,M,263,NA,DSA (CCA),SCHOOL X,,0.27,,0.24,,,0.3,0.24,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
263,20180263,M,257,NA,IP (X),SCHOOL X,,0.04,,0.21,,,,,,,,,0.18,,0.23,,,,,,,,,,,,,,,0.33,,,,,1
264,20180264,F,0,NA,IP (Y),SCHOOL Y,,,0.85,0.92,,,,,,,0.58,,,0.93,,,,,,,,,,,,,,,,,,,,,1
265,20180265,F,0,NA,IP (Y),SCHOOL Y,,0.07,,0.97,,0.83,0.86,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,1
